,file_path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor
0,/content/ravdess/Actor_07/03-01-07-02-02-01-07.wav,03,01,07,02,02,01,07
1,/content/ravdess/Actor_07/03-01-02-02-01-01-07.wav,03,01,02,02,01,01,07
2,/content/ravdess/Actor_07/03-01-05-01-01-01-07.wav,03,01,05,01,01,01,07
3,/content/ravdess/Actor_07/03-01-08-01-02-02-07.wav,03,01,08,01,02,02,07
4,/content/ravdess/Actor_07/03-01-02-02-02-01-07.wav,03,01,02,02,02,01,07
5,/content/ravdess/Actor_07/03-01-04-01-01-01-07.wav,03,01,04,01,01,01,07
6,/content/ravdess/Actor_07/03-01-03-02-01-01-07.wav,03,01,03,02,01,01,07
7,/content/ravdess/Actor_07/03-01-06-01-02-01-07.wav,03,01,06,01,02,01,07
8,/content/ravdess/Actor_07/03-01-05-02-01-02-07.wav,03,01,05,02,01,02,07
9,/content/ravdess/Actor_07/03-01-07-02-01-01-07.wav,03,01,07,02,01,01,07
10,/content/ravdess/Actor_07/03-01-02-02-02-02-07.wav,03,01,02,02,02,02,07
11,/content/ravdess/Actor_07/03-01-06-01-02-02-07.wav,03,01,06,01,02,02,07
12,/content/ravdess/Actor_07/03-01-02-01-01-02-07.wav,03,01,02,01,01,02,07
13,/content/ravdess/Actor_07/03-01-07-01-02-02-07.wav,03,01,07,01,02,02,07
14,/content/ravdess/Actor_07/03-01-02-01-02-01-07.wav,03,01,02,01,02,01,07
15,/content/ravdess/Actor_07/03-01-03-01-01-02-07.wav,03,01,03,01,01,02,07
16,/content/ravdess/Actor_07/03-01-03-02-02-01-07.wav,03,01,03,02,02,01,07
17,/content/ravdess/Actor_07/03-01-04-01-02-02-07.wav,03,01,04,01,02,02,07
18,/content/ravdess/Actor_07/03-01-05-02-02-01-07.wav,03,01,05,02,02,01,07
19,/content/ravdess/Actor_07/03-01-06-01-01-02-07.wav,03,01,06,01,01,02,07
20,/content/ravdess/Actor_07/03-01-01-01-02-01-07.wav,03,01,01,01,02,01,07
21,/content/ravdess/Actor_07/03-01-03-01-02-01-07.wav,03,01,03,01,02,01,07
